drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
venetoclax,dasatinib,The serum concentration of Dasatinib can be increased when it is combined with Venetoclax.,1,90,99,579
captopril,atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Captopril.,1,76,228,617
valsartan,abiraterone,The metabolism of Abiraterone can be decreased when combined with Valsartan.,1,76,254,481
esmolol,levomilnacipran,The serum concentration of Levomilnacipran can be increased when it is combined with Esmolol.,1,93,260,322
ledipasvir,dihydroergotamine,The serum concentration of Dihydroergotamine can be increased when it is combined with Ledipasvir.,1,98,225,528
erythromycin,tiaprofenic acid,no interaction known or reported,0,32,146,196
vandetanib,azithromycin,Vandetanib may increase the QTc-prolonging activities of Azithromycin.,1,70,191,270
natamycin,vardenafil,no interaction known or reported,0,32,74,111
hydrochlorothiazide,desloratadine,The serum concentration of Desloratadine can be increased when it is combined with Hydrochlorothiazide.,1,103,180,332
barnidipine,brimonidine,The risk or severity of adverse effects can be increased when Barnidipine is combined with Brimonidine.,1,103,221,320
labetalol,empagliflozin,The risk or severity of adverse effects can be increased when Labetalol is combined with Empagliflozin.,1,103,322,286
temazepam,alfentanil,The risk or severity of adverse effects can be increased when Temazepam is combined with Alfentanil.,1,100,375,177
celiprolol,tetryzoline,The risk or severity of adverse effects can be increased when Celiprolol is combined with Tetryzoline.,1,102,259,49
natamycin,vinflunine,no interaction known or reported,0,32,74,30
moclobemide,omeprazole,The metabolism of Omeprazole can be decreased when combined with Moclobemide.,1,77,326,289
fludiazepam,tasimelteon,The risk or severity of adverse effects can be increased when Fludiazepam is combined with Tasimelteon.,1,103,153,278
perphenazine,metocurine,no interaction known or reported,0,32,411,39
hydrocodone,chlorpheniramine,Hydrocodone may increase the central nervous system depressant (CNS depressant) activities of Chlorpheniramine.,1,111,417,260
niflumic acid,loteprednol,The risk or severity of adverse effects can be increased when Niflumic acid is combined with Loteprednol.,1,105,156,140
rifabutin,nisoldipine,The metabolism of Nisoldipine can be increased when combined with Rifabutin.,1,76,654,240
mebendazole,osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Mebendazole.,1,93,99,524
zidovudine,cinnarizine,no interaction known or reported,0,32,156,125
benzydamine,equilin,The risk or severity of adverse effects can be increased when Benzydamine is combined with Equilin.,1,99,136,136
pargyline,guanfacine,Pargyline may increase the hypotensive activities of Guanfacine.,1,64,191,355
quazepam,cyclizine,The risk or severity of adverse effects can be increased when Quazepam is combined with Cyclizine.,1,98,291,263
zolpidem,artemether,The serum concentration of Artemether can be increased when it is combined with Zolpidem.,1,89,443,257
abacavir,vitamin e,no interaction known or reported,0,32,37,81
gamma-hydroxybutyric acid,brotizolam,The risk or severity of adverse effects can be increased when gamma-Hydroxybutyric acid is combined with Brotizolam.,1,116,232,184
rifabutin,paricalcitol,The metabolism of Paricalcitol can be increased when combined with Rifabutin.,1,77,654,68
phenytoin,mifepristone,The serum concentration of Mifepristone can be increased when it is combined with Phenytoin.,1,92,776,645
imiquimod,verapamil,The metabolism of Verapamil can be decreased when combined with Imiquimod.,1,74,110,604
pazopanib,isoniazid,no interaction known or reported,0,32,394,421
lenvatinib,amitriptyline,Lenvatinib may increase the QTc-prolonging activities of Amitriptyline.,1,71,213,302
magnesium sulfate,venlafaxine,The risk or severity of adverse effects can be increased when Magnesium sulfate is combined with Venlafaxine.,1,109,110,668
metoclopramide,bupropion,The metabolism of Bupropion can be decreased when combined with Metoclopramide.,1,79,229,280
chloramphenicol,topiramate,The metabolism of Topiramate can be decreased when combined with Chloramphenicol.,1,81,52,360
nisoldipine,chlorothiazide,The risk or severity of adverse effects can be increased when Nisoldipine is combined with Chlorothiazide.,1,106,209,376
indinavir,cisplatin,no interaction known or reported,0,32,95,65
efonidipine,dipyridamole,The risk or severity of adverse effects can be increased when Efonidipine is combined with Dipyridamole.,1,104,119,205
methotrimeprazine,agomelatine,no interaction known or reported,0,32,377,182
methylene blue,promethazine,no interaction known or reported,0,32,290,344
chloroxine,azelnidipine,The risk or severity of adverse effects can be increased when Chloroxine is combined with Azelnidipine.,1,103,74,106
fospropofol,efavirenz,The risk or severity of adverse effects can be increased when Fospropofol is combined with Efavirenz.,1,101,151,424
dapiprazole,etidocaine,The risk or severity of adverse effects can be increased when Dapiprazole is combined with Etidocaine.,1,102,197,180
gadoxetic acid,aceprometazine,no interaction known or reported,0,32,35,226
trolamine salicylate,sulfamethizole,no interaction known or reported,0,32,104,26
mepivacaine,topiramate,The risk or severity of adverse effects can be increased when Mepivacaine is combined with Topiramate.,1,102,211,360
nisoldipine,lofexidine,Nisoldipine may increase the hypotensive activities of Lofexidine.,1,66,209,163
pirlindole,macitentan,Pirlindole may increase the hypotensive activities of Macitentan.,1,65,199,179
labetalol,epirizole,Labetalol may decrease the antihypertensive activities of Epirizole.,1,68,322,206
dofetilide,thioridazine,The risk or severity of QTc prolongation can be increased when Dofetilide is combined with Thioridazine.,1,104,273,225
pheniramine,maraviroc,no interaction known or reported,0,32,30,46
remoxipride,delavirdine,The metabolism of Delavirdine can be decreased when combined with Remoxipride.,1,78,239,652
trichloroethylene,dimenhydrinate,The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Dimenhydrinate.,1,112,135,255
dicloxacillin,epirubicin,The serum concentration of Epirubicin can be decreased when it is combined with Dicloxacillin.,1,94,63,94
piperazine,fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Piperazine.,1,76,123,469
amprenavir,lobeglitazone,The metabolism of Lobeglitazone can be decreased when combined with Amprenavir.,1,79,176,357
tubocurarine,practolol,Tubocurarine may increase the bradycardic activities of Practolol.,1,66,148,128
fenoprofen,etodolac,The risk or severity of adverse effects can be increased when Fenoprofen is combined with Etodolac.,1,99,203,187
pitavastatin,fluoxetine,The serum concentration of Fluoxetine can be increased when it is combined with Pitavastatin.,1,93,298,469
milnacipran,dipivefrin,Milnacipran may increase the tachycardic activities of Dipivefrin.,1,66,158,64
aminosalicylic acid,probenecid,The therapeutic efficacy of Probenecid can be decreased when used in combination with Aminosalicylic acid.,1,106,103,218
profenamine,tapentadol,The risk or severity of adverse effects can be increased when Profenamine is combined with Tapentadol.,1,102,93,352
chlorthalidone,benazepril,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Benazepril.,1,105,239,202
choline magnesium trisalicylate,technetium tc-99m medronate,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Technetium Tc-99m medronate.,1,139,165,129
ribostamycin,potassium citrate,no interaction known or reported,0,32,123,54
quinine,mirtazapine,Quinine may increase the QTc-prolonging activities of Mirtazapine.,1,66,406,179
vismodegib,quinine,The metabolism of Quinine can be decreased when combined with Vismodegib.,1,73,123,343
spirapril,zaltoprofen,The risk or severity of adverse effects can be increased when Spirapril is combined with Zaltoprofen.,1,101,163,203
tranylcypromine,ketazolam,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ketazolam.,1,105,346,197
deferiprone,pramocaine,no interaction known or reported,0,32,26,202
vismodegib,acetyldigitoxin,Vismodegib may decrease the cardiotoxic activities of Acetyldigitoxin.,1,70,123,326
pramipexole,metoprolol,The risk or severity of adverse effects can be increased when Pramipexole is combined with Metoprolol.,1,102,128,281
dicloxacillin,tobramycin,The serum concentration of Tobramycin can be decreased when it is combined with Dicloxacillin.,1,94,63,81
articaine,sitagliptin,The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Articaine.,1,97,179,172
oxymorphone,paroxetine,The metabolism of Paroxetine can be decreased when combined with Oxymorphone.,1,77,368,517
fimasartan,lofexidine,The risk or severity of adverse effects can be increased when Fimasartan is combined with Lofexidine.,1,101,250,163
salicylamide,limaprost,The therapeutic efficacy of Limaprost can be decreased when used in combination with Salicylamide.,1,98,146,105
betamethasone,gallamine triethiodide,The risk or severity of adverse effects can be increased when Betamethasone is combined with Gallamine triethiodide.,1,116,164,135
methysergide,ketazolam,The risk or severity of adverse effects can be increased when Methysergide is combined with Ketazolam.,1,102,263,197
tolfenamic acid,chlorthalidone,The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Tolfenamic acid.,1,106,164,329
dexketoprofen,etodolac,The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Etodolac.,1,102,148,187
benidipine,moricizine,no interaction known or reported,0,32,48,34
floctafenine,alclometasone,The risk or severity of adverse effects can be increased when Floctafenine is combined with Alclometasone.,1,106,208,142
copanlisib,cobicistat,The metabolism of Cobicistat can be decreased when combined with Copanlisib.,1,76,91,635
hydroxyprogesterone caproate,nateglinide,The therapeutic efficacy of Nateglinide can be decreased when used in combination with Hydroxyprogesterone caproate.,1,116,131,129
acemetacin,fluprednidene,The risk or severity of adverse effects can be increased when Acemetacin is combined with Fluprednidene.,1,104,248,139
ponatinib,diltiazem,The metabolism of Diltiazem can be decreased when combined with Ponatinib.,1,74,167,583
ethylmorphine,chloroquine,The metabolism of Chloroquine can be decreased when combined with Ethylmorphine.,1,80,312,380
acrivastine,etidocaine,no interaction known or reported,0,32,37,180
vindesine,masoprocol,no interaction known or reported,0,32,101,152
methotrimeprazine,tetrabenazine,Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Tetrabenazine.,1,114,377,237
cobimetinib,darunavir,The serum concentration of Darunavir can be increased when it is combined with Cobimetinib.,1,91,92,591
dapiprazole,ethosuximide,The risk or severity of adverse effects can be increased when Dapiprazole is combined with Ethosuximide.,1,104,197,250
trifluoperazine,lumefantrine,The serum concentration of Lumefantrine can be increased when it is combined with Trifluoperazine.,1,98,325,243
clotiazepam,tedizolid phosphate,no interaction known or reported,0,32,127,115
halazepam,acepromazine,The risk or severity of adverse effects can be increased when Halazepam is combined with Acepromazine.,1,102,194,206
